epidemic,isPartial,date
5,False,2019-08-11
5,False,2019-08-18
6,False,2019-08-25
6,False,2019-09-01
7,False,2019-09-08
7,False,2019-09-15
8,False,2019-09-22
7,False,2019-09-29
7,False,2019-10-06
8,False,2019-10-13
7,False,2019-10-20
6,False,2019-10-27
8,False,2019-11-03
6,False,2019-11-10
8,False,2019-11-17
5,False,2019-11-24
7,False,2019-12-01
7,False,2019-12-08
6,False,2019-12-15
4,False,2019-12-22
4,False,2019-12-29
6,False,2020-01-05
7,False,2020-01-12
11,False,2020-01-19
18,False,2020-01-26
16,False,2020-02-02
14,False,2020-02-09
10,False,2020-02-16
35,False,2020-02-23
34,False,2020-03-01
100,False,2020-03-08
89,False,2020-03-15
59,False,2020-03-22
46,False,2020-03-29
34,False,2020-04-05
25,False,2020-04-12
22,False,2020-04-19
19,False,2020-04-26
16,False,2020-05-03
14,False,2020-05-10
13,False,2020-05-17
11,False,2020-05-24
8,False,2020-05-31
7,False,2020-06-07
8,False,2020-06-14
7,False,2020-06-21
9,False,2020-06-28
15,False,2020-07-05
11,False,2020-07-12
9,False,2020-07-19
8,False,2020-07-26
9,True,2020-08-02
