opioid overdose,isPartial,date
58,False,2019-08-11
53,False,2019-08-18
71,False,2019-08-25
51,False,2019-09-01
73,False,2019-09-08
85,False,2019-09-15
71,False,2019-09-22
79,False,2019-09-29
79,False,2019-10-06
58,False,2019-10-13
91,False,2019-10-20
76,False,2019-10-27
100,False,2019-11-03
63,False,2019-11-10
78,False,2019-11-17
66,False,2019-11-24
52,False,2019-12-01
64,False,2019-12-08
41,False,2019-12-15
26,False,2019-12-22
46,False,2019-12-29
45,False,2020-01-05
55,False,2020-01-12
59,False,2020-01-19
68,False,2020-01-26
73,False,2020-02-02
69,False,2020-02-09
70,False,2020-02-16
71,False,2020-02-23
65,False,2020-03-01
53,False,2020-03-08
51,False,2020-03-15
42,False,2020-03-22
53,False,2020-03-29
61,False,2020-04-05
60,False,2020-04-12
73,False,2020-04-19
64,False,2020-04-26
47,False,2020-05-03
60,False,2020-05-10
63,False,2020-05-17
44,False,2020-05-24
47,False,2020-05-31
59,False,2020-06-07
52,False,2020-06-14
44,False,2020-06-21
44,False,2020-06-28
58,False,2020-07-05
48,False,2020-07-12
56,False,2020-07-19
45,False,2020-07-26
21,True,2020-08-02
