opioid treatment,isPartial,date
88,False,2019-08-11
66,False,2019-08-18
78,False,2019-08-25
76,False,2019-09-01
60,False,2019-09-08
82,False,2019-09-15
97,False,2019-09-22
96,False,2019-09-29
94,False,2019-10-06
67,False,2019-10-13
64,False,2019-10-20
70,False,2019-10-27
80,False,2019-11-03
99,False,2019-11-10
94,False,2019-11-17
66,False,2019-11-24
70,False,2019-12-01
84,False,2019-12-08
49,False,2019-12-15
70,False,2019-12-22
75,False,2019-12-29
69,False,2020-01-05
78,False,2020-01-12
71,False,2020-01-19
100,False,2020-01-26
72,False,2020-02-02
72,False,2020-02-09
88,False,2020-02-16
76,False,2020-02-23
92,False,2020-03-01
63,False,2020-03-08
74,False,2020-03-15
96,False,2020-03-22
71,False,2020-03-29
67,False,2020-04-05
76,False,2020-04-12
69,False,2020-04-19
66,False,2020-04-26
72,False,2020-05-03
50,False,2020-05-10
75,False,2020-05-17
55,False,2020-05-24
60,False,2020-05-31
67,False,2020-06-07
69,False,2020-06-14
83,False,2020-06-21
55,False,2020-06-28
73,False,2020-07-05
52,False,2020-07-12
68,False,2020-07-19
73,False,2020-07-26
33,True,2020-08-02
