opioid drug,isPartial,date
65,False,2019-08-11
54,False,2019-08-18
77,False,2019-08-25
91,False,2019-09-01
72,False,2019-09-08
60,False,2019-09-15
68,False,2019-09-22
86,False,2019-09-29
80,False,2019-10-06
92,False,2019-10-13
98,False,2019-10-20
91,False,2019-10-27
63,False,2019-11-03
66,False,2019-11-10
80,False,2019-11-17
66,False,2019-11-24
78,False,2019-12-01
95,False,2019-12-08
68,False,2019-12-15
26,False,2019-12-22
39,False,2019-12-29
51,False,2020-01-05
63,False,2020-01-12
60,False,2020-01-19
83,False,2020-01-26
88,False,2020-02-02
70,False,2020-02-09
100,False,2020-02-16
75,False,2020-02-23
67,False,2020-03-01
60,False,2020-03-08
38,False,2020-03-15
68,False,2020-03-22
67,False,2020-03-29
83,False,2020-04-05
57,False,2020-04-12
66,False,2020-04-19
70,False,2020-04-26
62,False,2020-05-03
55,False,2020-05-10
50,False,2020-05-17
36,False,2020-05-24
53,False,2020-05-31
46,False,2020-06-07
46,False,2020-06-14
51,False,2020-06-21
49,False,2020-06-28
47,False,2020-07-05
38,False,2020-07-12
46,False,2020-07-19
35,False,2020-07-26
33,True,2020-08-02
