what is an opioid,isPartial,date
49,False,2019-08-11
40,False,2019-08-18
78,False,2019-08-25
35,False,2019-09-01
48,False,2019-09-08
65,False,2019-09-15
62,False,2019-09-22
76,False,2019-09-29
69,False,2019-10-06
89,False,2019-10-13
64,False,2019-10-20
55,False,2019-10-27
58,False,2019-11-03
53,False,2019-11-10
61,False,2019-11-17
46,False,2019-11-24
50,False,2019-12-01
54,False,2019-12-08
35,False,2019-12-15
12,False,2019-12-22
47,False,2019-12-29
47,False,2020-01-05
76,False,2020-01-12
40,False,2020-01-19
88,False,2020-01-26
42,False,2020-02-02
71,False,2020-02-09
100,False,2020-02-16
66,False,2020-02-23
68,False,2020-03-01
90,False,2020-03-08
46,False,2020-03-15
75,False,2020-03-22
67,False,2020-03-29
54,False,2020-04-05
52,False,2020-04-12
74,False,2020-04-19
46,False,2020-04-26
63,False,2020-05-03
85,False,2020-05-10
29,False,2020-05-17
46,False,2020-05-24
47,False,2020-05-31
30,False,2020-06-07
31,False,2020-06-14
32,False,2020-06-21
32,False,2020-06-28
51,False,2020-07-05
39,False,2020-07-12
36,False,2020-07-19
59,False,2020-07-26
58,True,2020-08-02
