job near me,isPartial,date
90,False,2019-08-11
90,False,2019-08-18
84,False,2019-08-25
85,False,2019-09-01
88,False,2019-09-08
86,False,2019-09-15
88,False,2019-09-22
86,False,2019-09-29
87,False,2019-10-06
80,False,2019-10-13
81,False,2019-10-20
77,False,2019-10-27
84,False,2019-11-03
78,False,2019-11-10
80,False,2019-11-17
58,False,2019-11-24
76,False,2019-12-01
70,False,2019-12-08
72,False,2019-12-15
60,False,2019-12-22
81,False,2019-12-29
100,False,2020-01-05
94,False,2020-01-12
93,False,2020-01-19
85,False,2020-01-26
86,False,2020-02-02
87,False,2020-02-09
90,False,2020-02-16
82,False,2020-02-23
79,False,2020-03-01
68,False,2020-03-08
63,False,2020-03-15
56,False,2020-03-22
50,False,2020-03-29
49,False,2020-04-05
51,False,2020-04-12
54,False,2020-04-19
55,False,2020-04-26
64,False,2020-05-03
68,False,2020-05-10
73,False,2020-05-17
79,False,2020-05-24
82,False,2020-05-31
96,False,2020-06-07
94,False,2020-06-14
93,False,2020-06-21
91,False,2020-06-28
93,False,2020-07-05
83,False,2020-07-12
83,False,2020-07-19
80,False,2020-07-26
74,True,2020-08-02
