loans,isPartial,date
10,False,2019-08-11
9,False,2019-08-18
36,False,2019-08-25
100,False,2019-09-01
69,False,2019-09-08
62,False,2019-09-15
32,False,2019-09-22
8,False,2019-09-29
8,False,2019-10-06
8,False,2019-10-13
8,False,2019-10-20
8,False,2019-10-27
8,False,2019-11-03
8,False,2019-11-10
8,False,2019-11-17
7,False,2019-11-24
9,False,2019-12-01
8,False,2019-12-08
8,False,2019-12-15
7,False,2019-12-22
8,False,2019-12-29
9,False,2020-01-05
9,False,2020-01-12
9,False,2020-01-19
8,False,2020-01-26
8,False,2020-02-02
8,False,2020-02-09
8,False,2020-02-16
8,False,2020-02-23
8,False,2020-03-01
9,False,2020-03-08
12,False,2020-03-15
13,False,2020-03-22
15,False,2020-03-29
11,False,2020-04-05
10,False,2020-04-12
9,False,2020-04-19
8,False,2020-04-26
8,False,2020-05-03
8,False,2020-05-10
8,False,2020-05-17
7,False,2020-05-24
8,False,2020-05-31
8,False,2020-06-07
8,False,2020-06-14
8,False,2020-06-21
8,False,2020-06-28
10,False,2020-07-05
9,False,2020-07-12
9,False,2020-07-19
9,False,2020-07-26
9,True,2020-08-02
