job indeed,isPartial,date
99,False,2019-08-11
98,False,2019-08-18
90,False,2019-08-25
77,False,2019-09-01
83,False,2019-09-08
87,False,2019-09-15
90,False,2019-09-22
86,False,2019-09-29
84,False,2019-10-06
79,False,2019-10-13
84,False,2019-10-20
78,False,2019-10-27
83,False,2019-11-03
82,False,2019-11-10
81,False,2019-11-17
55,False,2019-11-24
71,False,2019-12-01
68,False,2019-12-08
73,False,2019-12-15
55,False,2019-12-22
75,False,2019-12-29
100,False,2020-01-05
90,False,2020-01-12
87,False,2020-01-19
83,False,2020-01-26
86,False,2020-02-02
84,False,2020-02-09
86,False,2020-02-16
84,False,2020-02-23
83,False,2020-03-01
71,False,2020-03-08
52,False,2020-03-15
56,False,2020-03-22
45,False,2020-03-29
41,False,2020-04-05
44,False,2020-04-12
48,False,2020-04-19
48,False,2020-04-26
54,False,2020-05-03
58,False,2020-05-10
65,False,2020-05-17
58,False,2020-05-24
61,False,2020-05-31
68,False,2020-06-07
70,False,2020-06-14
66,False,2020-06-21
65,False,2020-06-28
61,False,2020-07-05
70,False,2020-07-12
69,False,2020-07-19
63,False,2020-07-26
62,True,2020-08-02
