Category: All categories

Day,phobias: (United States)
2019-09-12,56
2019-09-13,76
2019-09-14,45
2019-09-15,28
2019-09-16,49
2019-09-17,52
2019-09-18,49
2019-09-19,60
2019-09-20,39
2019-09-21,15
2019-09-22,45
2019-09-23,46
2019-09-24,49
2019-09-25,53
2019-09-26,61
2019-09-27,61
2019-09-28,51
2019-09-29,30
2019-09-30,77
2019-10-01,56
2019-10-02,67
2019-10-03,68
2019-10-04,71
2019-10-05,40
2019-10-06,61
2019-10-07,68
2019-10-08,73
2019-10-09,74
2019-10-10,69
2019-10-11,57
2019-10-12,43
2019-10-13,35
2019-10-14,52
2019-10-15,60
2019-10-16,85
2019-10-17,69
2019-10-18,72
2019-10-19,34
2019-10-20,57
2019-10-21,76
2019-10-22,85
2019-10-23,57
2019-10-24,51
2019-10-25,72
2019-10-26,28
2019-10-27,39
2019-10-28,44
2019-10-29,90
2019-10-30,81
2019-10-31,100
2019-11-01,61
2019-11-02,67
2019-11-03,48
2019-11-04,58
2019-11-05,43
2019-11-06,70
2019-11-07,47
2019-11-08,53
2019-11-09,43
2019-11-10,38
2019-11-11,76
2019-11-12,47
2019-11-13,60
2019-11-14,52
2019-11-15,63
2019-11-16,31
2019-11-17,28
2019-11-18,64
2019-11-19,73
2019-11-20,54
2019-11-21,57
2019-11-22,52
2019-11-23,28
2019-11-24,21
2019-11-25,56
2019-11-26,36
2019-11-27,26
2019-11-28,21
2019-11-29,47
2019-11-30,16
2019-12-01,43
2019-12-02,55
2019-12-03,53
2019-12-04,53
2019-12-05,61
2019-12-06,45
2019-12-07,48
2019-12-08,42
2019-12-09,47
2019-12-10,54
2019-12-11,67
2019-12-12,67
2019-12-13,35
2019-12-14,26
2019-12-15,48
2019-12-16,57
2019-12-17,70
2019-12-18,29
2019-12-19,51
2019-12-20,37
2019-12-21,27
2019-12-22,30
2019-12-23,25
2019-12-24,36
2019-12-25,25
2019-12-26,29
2019-12-27,36
2019-12-28,34
2019-12-29,21
2019-12-30,26
2019-12-31,28
2020-01-01,42
2020-01-02,36
2020-01-03,44
2020-01-04,25
2020-01-05,25
2020-01-06,34
2020-01-07,72
2020-01-08,39
2020-01-09,49
2020-01-10,38
2020-01-11,37
2020-01-12,38
2020-01-13,50
2020-01-14,35
2020-01-15,52
2020-01-16,49
2020-01-17,51
2020-01-18,18
2020-01-19,25
2020-01-20,17
2020-01-21,54
2020-01-22,34
2020-01-23,46
2020-01-24,38
2020-01-25,23
2020-01-26,21
2020-01-27,32
2020-01-28,37
2020-01-29,42
2020-01-30,24
2020-01-31,60
2020-02-01,44
2020-02-02,46
2020-02-03,42
2020-02-04,47
2020-02-05,43
2020-02-06,41
2020-02-07,40
2020-02-08,21
2020-02-09,32
2020-02-10,56
2020-02-11,55
2020-02-12,56
2020-02-13,47
2020-02-14,26
2020-02-15,30
2020-02-16,39
2020-02-17,39
2020-02-18,45
2020-02-19,56
2020-02-20,46
2020-02-21,43
2020-02-22,33
2020-02-23,24
2020-02-24,57
2020-02-25,71
2020-02-26,57
2020-02-27,49
2020-02-28,40
2020-02-29,46
2020-03-01,57
2020-03-02,56
2020-03-03,41
2020-03-04,38
2020-03-05,62
2020-03-06,46
2020-03-07,38
2020-03-08,62
2020-03-09,56
2020-03-10,62
2020-03-11,57
2020-03-12,38
2020-03-13,37
2020-03-14,38
2020-03-15,19
2020-03-16,35
2020-03-17,24
2020-03-18,36
2020-03-19,34
2020-03-20,42
2020-03-21,42
2020-03-22,36
2020-03-23,36
2020-03-24,48
2020-03-25,46
2020-03-26,36
2020-03-27,38
2020-03-28,29
2020-03-29,45
2020-03-30,54
2020-03-31,32
2020-04-01,48
2020-04-02,25
2020-04-03,43
2020-04-04,51
2020-04-05,49
2020-04-06,40
2020-04-07,31
2020-04-08,30
2020-04-09,37
2020-04-10,39
2020-04-11,39
2020-04-12,37
2020-04-13,60
2020-04-14,42
2020-04-15,37
2020-04-16,51
2020-04-17,44
2020-04-18,29
2020-04-19,14
2020-04-20,20
2020-04-21,50
2020-04-22,38
2020-04-23,42
2020-04-24,42
2020-04-25,43
2020-04-26,46
2020-04-27,45
2020-04-28,37
2020-04-29,31
2020-04-30,38
2020-05-01,46
2020-05-02,38
2020-05-03,44
2020-05-04,52
2020-05-05,43
2020-05-06,31
2020-05-07,30
2020-05-08,37
