Category: All categories

Day,Anxiety disorder: (United States)
2019-09-12,85
2019-09-13,63
2019-09-14,42
2019-09-15,46
2019-09-16,67
2019-09-17,75
2019-09-18,70
2019-09-19,71
2019-09-20,67
2019-09-21,41
2019-09-22,46
2019-09-23,85
2019-09-24,70
2019-09-25,67
2019-09-26,83
2019-09-27,75
2019-09-28,52
2019-09-29,58
2019-09-30,79
2019-10-01,80
2019-10-02,85
2019-10-03,82
2019-10-04,73
2019-10-05,62
2019-10-06,59
2019-10-07,71
2019-10-08,81
2019-10-09,80
2019-10-10,78
2019-10-11,59
2019-10-12,49
2019-10-13,51
2019-10-14,88
2019-10-15,66
2019-10-16,89
2019-10-17,77
2019-10-18,78
2019-10-19,54
2019-10-20,52
2019-10-21,80
2019-10-22,89
2019-10-23,73
2019-10-24,77
2019-10-25,70
2019-10-26,60
2019-10-27,58
2019-10-28,78
2019-10-29,86
2019-10-30,93
2019-10-31,100
2019-11-01,72
2019-11-02,42
2019-11-03,56
2019-11-04,83
2019-11-05,78
2019-11-06,77
2019-11-07,68
2019-11-08,71
2019-11-09,44
2019-11-10,55
2019-11-11,83
2019-11-12,79
2019-11-13,76
2019-11-14,87
2019-11-15,72
2019-11-16,56
2019-11-17,56
2019-11-18,77
2019-11-19,82
2019-11-20,91
2019-11-21,84
2019-11-22,93
2019-11-23,41
2019-11-24,59
2019-11-25,79
2019-11-26,85
2019-11-27,66
2019-11-28,51
2019-11-29,31
2019-11-30,42
2019-12-01,51
2019-12-02,65
2019-12-03,83
2019-12-04,87
2019-12-05,93
2019-12-06,69
2019-12-07,50
2019-12-08,56
2019-12-09,76
2019-12-10,80
2019-12-11,70
2019-12-12,77
2019-12-13,66
2019-12-14,58
2019-12-15,50
2019-12-16,66
2019-12-17,68
2019-12-18,82
2019-12-19,58
2019-12-20,55
2019-12-21,45
2019-12-22,45
2019-12-23,40
2019-12-24,41
2019-12-25,28
2019-12-26,47
2019-12-27,48
2019-12-28,34
2019-12-29,44
2019-12-30,71
2019-12-31,46
2020-01-01,52
2020-01-02,69
2020-01-03,67
2020-01-04,53
2020-01-05,47
2020-01-06,79
2020-01-07,73
2020-01-08,73
2020-01-09,79
2020-01-10,65
2020-01-11,52
2020-01-12,51
2020-01-13,72
2020-01-14,58
2020-01-15,71
2020-01-16,62
2020-01-17,69
2020-01-18,58
2020-01-19,38
2020-01-20,45
2020-01-21,61
2020-01-22,70
2020-01-23,66
2020-01-24,68
2020-01-25,66
2020-01-26,33
2020-01-27,64
2020-01-28,75
2020-01-29,79
2020-01-30,69
2020-01-31,67
2020-02-01,61
2020-02-02,50
2020-02-03,67
2020-02-04,85
2020-02-05,73
2020-02-06,70
2020-02-07,80
2020-02-08,63
2020-02-09,51
2020-02-10,75
2020-02-11,82
2020-02-12,84
2020-02-13,69
2020-02-14,58
2020-02-15,57
2020-02-16,61
2020-02-17,77
2020-02-18,87
2020-02-19,81
2020-02-20,80
2020-02-21,65
2020-02-22,45
2020-02-23,52
2020-02-24,78
2020-02-25,69
2020-02-26,72
2020-02-27,72
2020-02-28,70
2020-02-29,48
2020-03-01,49
2020-03-02,66
2020-03-03,77
2020-03-04,75
2020-03-05,72
2020-03-06,72
2020-03-07,59
2020-03-08,61
2020-03-09,82
2020-03-10,72
2020-03-11,74
2020-03-12,77
2020-03-13,59
2020-03-14,43
2020-03-15,52
2020-03-16,47
2020-03-17,60
2020-03-18,52
2020-03-19,59
2020-03-20,56
2020-03-21,42
2020-03-22,47
2020-03-23,58
2020-03-24,59
2020-03-25,55
2020-03-26,77
2020-03-27,48
2020-03-28,43
2020-03-29,49
2020-03-30,60
2020-03-31,56
2020-04-01,58
2020-04-02,51
2020-04-03,65
2020-04-04,57
2020-04-05,46
2020-04-06,60
2020-04-07,77
2020-04-08,60
2020-04-09,70
2020-04-10,62
2020-04-11,43
2020-04-12,40
2020-04-13,63
2020-04-14,59
2020-04-15,63
2020-04-16,64
2020-04-17,70
2020-04-18,48
2020-04-19,53
2020-04-20,64
2020-04-21,63
2020-04-22,65
2020-04-23,63
2020-04-24,71
2020-04-25,52
2020-04-26,65
2020-04-27,67
2020-04-28,69
2020-04-29,61
2020-04-30,62
2020-05-01,57
2020-05-02,61
2020-05-03,57
2020-05-04,66
2020-05-05,85
2020-05-06,73
2020-05-07,71
2020-05-08,68
